Id,Predicted
candidate11,0.05613903300182774
candidate13,0.9941989157655011
candidate15,0.10562965772281681
candidate17,0.9760965019535274
candidate22,0.7384033769865136
candidate26,0.6741418837799313
candidate33,0.896677579062579
candidate40,0.998000002468437
candidate42,0.4492259679526782
candidate49,0.7888327906297253
candidate56,0.10093956240211417
candidate59,0.5649711727047506
candidate60,0.05669973985593232
candidate68,0.025676527446289527
candidate75,0.9625950128354834
candidate76,0.017803881710846143
candidate77,0.05369823079368892
candidate79,0.40102736794041266
candidate85,0.839041011212798
candidate99,0.9418571336036863
candidate100,0.0971407397944225
candidate103,0.9635742188401228
candidate107,0.9926579880247126
candidate108,0.9692427664994502
candidate112,0.9394470621081199
candidate116,0.2752308571418145
candidate117,0.17608378620888523
candidate118,0.7608584030674316
candidate128,0.18097164005680855
candidate129,0.0821552996889263
candidate132,0.982896349453662
candidate137,0.4392522455019922
candidate144,0.9404684259293238
candidate146,0.05434608178439849
candidate149,0.9041983812563121
candidate165,0.9975234535744879
candidate167,0.9981851025728689
candidate170,0.5523582652685289
candidate174,0.9980135131229965
candidate178,0.19885225188224756
candidate189,0.3328013926444249
candidate191,0.34168414987784246
candidate194,0.9362234705447906
candidate195,0.5605426534863434
candidate197,0.0811089505025992
candidate201,0.12439523620202048
candidate204,0.9614892224190174
candidate223,0.939404333907985
candidate239,0.949325859481762
candidate251,0.16221782621359795
candidate252,0.10753033431053945
candidate259,0.9588574415334775
candidate264,0.9551584407758749
candidate268,0.028182151483117736
candidate274,0.9005666382203806
candidate275,0.9728513926363251
candidate278,0.8404848842780291
candidate284,0.803710129405623
candidate286,0.8577253701659902
candidate290,0.980251301183863
candidate300,0.8450143165730379
candidate301,0.12488231460991796
candidate302,0.21655963626206204
candidate309,0.7351608871428196
candidate312,0.9425676280233798
candidate329,0.0019733299945655413
candidate333,0.7396300506719542
candidate344,0.9555259426041713
candidate346,0.07208142692572991
candidate348,0.9996462587259303
candidate354,0.9538877358909983
candidate357,0.9885683797817297
candidate360,0.4586733352750186
candidate363,0.9542363780900434
candidate368,0.6411854705512416
candidate373,0.9879205110904858
candidate384,0.969391602035878
candidate390,0.8065045383153681
candidate394,0.5209999560680885
candidate396,0.954417819377863
candidate397,0.11603723374692608
candidate398,0.7446626535681915
candidate402,0.06474926201906661
candidate403,0.22814912978364751
candidate412,0.9610082072955184
candidate424,0.8009780484685013
candidate427,0.13067396674258228
candidate431,0.053058808213787216
candidate439,0.9406141417001513
candidate440,0.04257692281216633
candidate450,0.5919174329479236
candidate451,0.9804377716398148
candidate455,0.9157507968752948
candidate456,0.986016249182683
candidate458,0.07226263725114258
candidate459,0.06747134769884831
candidate463,0.24755926809910492
candidate466,0.9832006779758511
candidate483,0.9412866577478052
candidate486,0.9188895796418293
candidate489,0.753312989936342
candidate491,0.9808428805952394
candidate493,0.19994908531061764
candidate498,0.9677814219366639
candidate499,0.9517883553969566
candidate502,0.03169321295147769
candidate509,0.2144937329753568
candidate513,0.9289892315578314
candidate524,0.998807523532847
candidate530,0.9831963423166823
candidate544,0.9918767313410204
candidate556,0.3554185195442745
candidate563,0.9594304524064383
candidate564,0.897687150753417
candidate565,0.02045578748769388
candidate580,0.9871971693434044
candidate582,0.9660237985051701
